DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),F: Female,2005,7.4,0: Units,PCNT: %,RA: Reanalysed,F: Free,5.2,10.4,488.9,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Albania multiple indicator cluster survey 2005  final report. Tirana  Albania  Albanian National Institute of Statistics  2008,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1997-2017,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),F: Female,2009,7.3,0: Units,PCNT: %,RA: Reanalysed,F: Free,5.1,10.2,666.8,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Albania demographic and health survey 2008-09. Demographic and Health Surveys. Tirana  Albania  Institute of Statistics  Institute of Public Health and ICF Macro  2010,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1997-2017,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),F: Female,2017,2.0,0: Units,PCNT: %,RA: Reanalysed,F: Free,1.3,3.0,1126.2,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Albania Demographic and Health Survey 2017-18. Tirana  Albania  Institute of Statistics  Institute of Public Health  and ICF,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1997-2017,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),M: Male,2000,12.9,0: Units,PCNT: %,RA: Reanalysed,F: Free,10.0,16.6,556.3,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Multiple indicator cluster survey report Albania (MICS). Committee on Women and Family  Institute of Public Health  Faculty of Social Sciences and UNICEF (Albania). Tirana  Albania  UNICEF  2000,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1997-2017,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),M: Male,2005,7.3,0: Units,PCNT: %,RA: Reanalysed,F: Free,5.0,10.5,586.4,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Albania multiple indicator cluster survey 2005  final report. Tirana  Albania  Albanian National Institute of Statistics  2008,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1997-2017,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),M: Male,2009,11.9,0: Units,PCNT: %,RA: Reanalysed,F: Free,8.4,16.5,668.6,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Albania demographic and health survey 2008-09. Demographic and Health Surveys. Tirana  Albania  Institute of Statistics  Institute of Public Health and ICF Macro  2010,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1997-2017,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),M: Male,2017,1.2,0: Units,PCNT: %,RA: Reanalysed,F: Free,0.7,1.9,1172.8,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Albania Demographic and Health Survey 2017-18. Tirana  Albania  Institute of Statistics  Institute of Public Health  and ICF,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1997-2017,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),_T: Total,1997,8.1,0: Units,PCNT: %,AD: Adjusted,F: Free,,,7642.0,Converted estimate,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,National study on nutrition in Albania. 1999,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1997-2017,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),_T: Total,2000,12.2,0: Units,PCNT: %,RA: Reanalysed,F: Free,9.4,15.8,1117.5,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Multiple indicator cluster survey report Albania (MICS). Committee on Women and Family  Institute of Public Health  Faculty of Social Sciences and UNICEF (Albania). Tirana  Albania  UNICEF  2000,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1997-2017,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),_T: Total,2005,7.3,0: Units,PCNT: %,RA: Reanalysed,F: Free,5.6,9.5,1075.3,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Albania multiple indicator cluster survey 2005  final report. Tirana  Albania  Albanian National Institute of Statistics  2008,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1997-2017,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),_T: Total,2009,9.6,0: Units,PCNT: %,RA: Reanalysed,F: Free,7.5,12.1,1335.4,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Albania demographic and health survey 2008-09. Demographic and Health Surveys. Tirana  Albania  Institute of Statistics  Institute of Public Health and ICF Macro  2010,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1997-2017,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),_T: Total,2017,1.6,0: Units,PCNT: %,RA: Reanalysed,F: Free,1.1,2.2,2299.0,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Albania Demographic and Health Survey 2017-18. Tirana  Albania  Institute of Statistics  Institute of Public Health  and ICF,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1997-2017,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),F: Female,1992,7.2,0: Units,PCNT: %,RA: Reanalysed,F: Free,5.7,8.9,2270.9,Height/length modality (standing/lying) was not collected,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Enquête Algérienne sur la santé de la mère et de l'enfant. Office national des statistiques. PAPCHILD surveys. Cairo  Ligue des Etats Arabes  1992,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1987-2019,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),F: Female,1995,9.4,0: Units,PCNT: %,ER: External Reanalysis,F: Free,,,1861.0,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,"Enquête nationale sur les objectifs de la mi-decennie  ""MDG Algerie""  1995. Alger  Algerie  1996",https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1987-2019,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),F: Female,2000,2.9,0: Units,PCNT: %,RA: Reanalysed,F: Free,2.1,3.9,1987.1,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Enquête nationale sur les objectives de la fin décennie santé mère et enfant EDG Algérie 2000 (MICS). Institut National de Santé Publique. République Algérienne Démocratique et Populaire  2001,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1987-2019,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),F: Female,2002,9.3,0: Units,PCNT: %,RA: Reanalysed,F: Free,7.9,10.9,2072.5,Height/length modality (standing/lying) was not collected,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Enquête Algérienne sur la santé de la famille-2002  Rapport principal. Alger  Algérie  Agence Nationale de la Documentation en Santé  2004,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1987-2019,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),F: Female,2006,4.3,0: Units,PCNT: %,RA: Reanalysed,F: Free,3.7,4.9,6726.4,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Suivi de la situation des enfant et des femmes. Enquête nationale à indicateurs multiples  Rapport principal. MICS3. République Algérienne Démocratique et Populaire  Décembre 2008,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1987-2019,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),F: Female,2012,3.8,0: Units,PCNT: %,RA: Reanalysed,F: Free,3.2,4.5,6692.2,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,République Algérienne Démocratiqe et Populaire enquête par grappes à indicateurs mulitples (MICS) 2012-2013. Rapport final. Ministère de la Santé  de la Population et de la Réforme Hospitalière  2015.,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1987-2019,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),F: Female,2019,2.4,0: Units,PCNT: %,RA: Reanalysed,F: Free,1.9,3.0,6798.3,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Enquête par grappes à indicateurs multiples [MICS] 2019,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1987-2019,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),M: Male,1992,7.0,0: Units,PCNT: %,RA: Reanalysed,F: Free,5.9,8.3,2165.1,Height/length modality (standing/lying) was not collected,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Enquête Algérienne sur la santé de la mère et de l'enfant. Office national des statistiques. PAPCHILD surveys. Cairo  Ligue des Etats Arabes  1992,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1987-2019,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),M: Male,1995,9.7,0: Units,PCNT: %,ER: External Reanalysis,F: Free,,,1964.0,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,"Enquête nationale sur les objectifs de la mi-decennie  ""MDG Algerie""  1995. Alger  Algerie  1996",https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1987-2019,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),M: Male,2000,3.3,0: Units,PCNT: %,RA: Reanalysed,F: Free,2.4,4.6,2125.5,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Enquête nationale sur les objectives de la fin décennie santé mère et enfant EDG Algérie 2000 (MICS). Institut National de Santé Publique. République Algérienne Démocratique et Populaire  2001,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1987-2019,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),M: Male,2002,10.0,0: Units,PCNT: %,RA: Reanalysed,F: Free,8.3,11.9,2058.3,Height/length modality (standing/lying) was not collected,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Enquête Algérienne sur la santé de la famille-2002  Rapport principal. Alger  Algérie  Agence Nationale de la Documentation en Santé  2004,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1987-2019,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),M: Male,2006,4.0,0: Units,PCNT: %,RA: Reanalysed,F: Free,3.4,4.7,6922.2,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Suivi de la situation des enfant et des femmes. Enquête nationale à indicateurs multiples  Rapport principal. MICS3. République Algérienne Démocratique et Populaire  Décembre 2008,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1987-2019,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),M: Male,2012,4.4,0: Units,PCNT: %,RA: Reanalysed,F: Free,3.8,5.1,6976.3,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,République Algérienne Démocratiqe et Populaire enquête par grappes à indicateurs mulitples (MICS) 2012-2013. Rapport final. Ministère de la Santé  de la Population et de la Réforme Hospitalière  2015.,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1987-2019,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),M: Male,2019,3.0,0: Units,PCNT: %,RA: Reanalysed,F: Free,2.4,3.6,7129.8,,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Enquête par grappes à indicateurs multiples [MICS] 2019,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1987-2019,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),_T: Total,1987,4.0,0: Units,PCNT: %,AD: Adjusted,F: Free,,,2344.0,Converted estimate,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Etat nutritionnel des enfants algériens de 0 à 10 ans et niveaux d'urbanisation d'après les résultats préliminaires de l'enquête épidémiologique sur la malnutrition protéino-énérgétique en 1987,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1987-2019,Y0T4: Under 5 years old
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,NT_ANT_WHZ_NE2: Weight-for-height <-2 SD (wasting),_T: Total,1992,7.1,0: Units,PCNT: %,RA: Reanalysed,F: Free,6.0,8.3,4436.0,Height/length modality (standing/lying) was not collected,UNICEF/WHO/World Bank Joint Malnutrition Estimates Expanded Databases  July 2020,Enquête Algérienne sur la santé de la mère et de l'enfant. Office national des statistiques. PAPCHILD surveys. Cairo  Ligue des Etats Arabes  1992,https://data.unicef.org/topic/nutrition/malnutrition/,UNICEF Division of Data  Analysis  Planning and Monitoring,MOF: Middle of fieldwork,,1987-2019,Y0T4: Under 5 years old
